File, Precision, Recall, F1 Score
11_04.mid, 0.9295774647887324, 0.9166666666666666, 0.9230769230769231
16_04.mid, 0.06289308176100629, 0.0641025641025641, 0.0634920634920635
yty20_3x8_3.mid, 0.7390572390572391, 0.8977505112474438, 0.8107109879963066
playing4.mid, 0.09780775716694773, 0.09931506849315068, 0.09855564995751911
18_04.mid, 0.7217962760131434, 0.7210065645514223, 0.7214012041598248
yty20_2x8_2.mid, 0.8131609870740305, 0.781038374717833, 0.796776050662061
15_04.mid, 0.9045801526717557, 0.9294117647058824, 0.9168278529980659
17_05.mid, 0.9011345218800648, 0.9251247920133111, 0.9129720853858785
02_04.mid, 0.018805309734513276, 0.0192090395480226, 0.01900503074343209
09_04.mid, 0.918429003021148, 0.95, 0.93394777265745
09_01.mid, 0.9333333333333333, 0.9776536312849162, 0.9549795361527967
07_03.mid, 0.8408304498269896, 0.9642857142857143, 0.8983364140480592
yty3_2.mid, 0.16968325791855204, 0.18796992481203006, 0.178359096313912
03_05.mid, 0.05873015873015873, 0.06764168190127971, 0.06287170773152083
19_04.mid, 0.910828025477707, 0.9225806451612903, 0.9166666666666666
03_04.mid, 0.08120649651972157, 0.08139534883720931, 0.08130081300813007
11_01.mid, 0.8839779005524862, 0.927536231884058, 0.9052333804809052
04_02.mid, 0.04008016032064128, 0.042105263157894736, 0.04106776180698152
08_03.mid, 0.8916256157635468, 0.9427083333333334, 0.9164556962025316
07_04.mid, 0.8951965065502183, 0.9262048192771084, 0.9104367135455218
07_05.mid, 0.878419452887538, 0.9398373983739837, 0.9080911233307148
04_05.mid, 0.8978405315614618, 0.8824489795918368, 0.8900782214903252
03_02.mid, 0.004807692307692308, 0.007009345794392523, 0.005703422053231939
yty20_5x7_2.mid, 0.07283464566929133, 0.07535641547861507, 0.07407407407407407
09_06.mid, 0.8421052631578947, 0.9696969696969697, 0.9014084507042254
yty26_1x7_6.mid, 0.06346749226006192, 0.07578558225508318, 0.06908171861836564
02_05.mid, 0.021538461538461538, 0.022364217252396165, 0.0219435736677116
06_03.mid, 0.7458677685950413, 0.9809782608695652, 0.8474178403755869
17_02.mid, 0.8391472868217055, 0.9558498896247241, 0.8937048503611972
yty3_4.mid, 0.8784440842787682, 0.8727858293075684, 0.8756058158319869
04_03.mid, 0.015560165975103735, 0.017814726840855107, 0.01661129568106312
yty2_5.mid, 0.8372703412073491, 0.8495339547270306, 0.8433575677461997
yty3_1.mid, 0.7131537242472267, 0.9394572025052192, 0.8108108108108107
19_01.mid, 0.8404255319148937, 0.9584055459272097, 0.8955465587044535
yty26_2x8_5.mid, 0.75748031496063, 0.843859649122807, 0.7983402489626555
10_01.mid, 0.8394004282655246, 0.9702970297029703, 0.9001148105625717
02_03.mid, 0.010282776349614395, 0.011396011396011397, 0.01081081081081081
yty20_2x8_5.mid, 0.7318435754189944, 0.7245575221238938, 0.7281823235130628
yty20_5x7_5.mid, 0.08333333333333333, 0.08800773694390715, 0.08560677328316085
yty20_6x8_5.mid, 0.877319587628866, 0.8976793248945147, 0.8873826903023984
